label,ccode,region,pop,qu,de,ar,aq,lng,lat,arid,capacity,delivery
Piatra_Neamt,ROU,5,145,2,2,2,1,26.433,46.917,0.816,1.49,6723
Agronion,GRC,5,61,1,1,1,1,21.408,38.534,0.817,0.68,12430
Vibo_Valentia,ITA,5,57,2,1,1,1,16.108,38.669,0.817,1.25,15214
Sliven,BGR,5,102,2,2,2,1,26.346,42.671,0.818,1.84,8000
Pamplona,ESP,5,281,1,1,1,1,-1.642,42.784,0.82,0.67,21814
Kemerovo,RUS,5,624,2,2,2,1,86.149,55.529,0.821,1.42,10671
Topolcany,SVK,5,63,1,1,1,1,18.275,48.604,0.824,0.77,12605
Uman',UKR,5,90,2,2,2,1,30.212,48.75,0.824,1.48,5995
Tatvan,TUR,5,66,2,3,2,1,42.292,38.504,0.824,1.89,2206
Prerov,CZE,5,51,2,1,1,1,17.458,49.454,0.829,1.65,13165
Ussurijsk,RUS,5,122,1,2,1,1,132.054,43.796,0.83,0.48,8178
Targoviste,ROU,5,108,3,2,2,1,25.467,44.929,0.832,2.61,8917
Lamezia_Terme,ITA,5,85,2,1,1,1,16.3,38.871,0.833,1.18,15133
Vinnytsya,UKR,5,353,2,2,2,1,28.462,49.25,0.835,2.33,5555
Castres,FRA,5,66,1,1,1,1,2.312,43.584,0.837,0.59,15490
Side,TUR,5,160,2,3,2,1,31.442,36.795,0.837,1.69,1734
Olomouc,CZE,5,113,2,1,1,1,17.279,49.596,0.843,2.23,13165
Hunedoara,ROU,5,171,2,2,2,1,22.958,45.821,0.845,1.19,9132
Kosice,SVK,5,254,2,2,2,1,21.254,48.692,0.846,2.06,10456
Valence,FRA,5,193,1,1,1,1,4.879,44.767,0.847,0.98,16995
Jurga,RUS,5,88,1,1,1,1,84.9,55.721,0.848,0.81,10931
Saki,AZE,5,64,2,3,2,1,47.192,41.217,0.851,1.47,1979
Svobodnyj,RUS,5,73,1,2,1,1,128.129,51.388,0.855,0.55,10717
Vic,ESP,5,101,1,1,1,1,2.267,41.917,0.86,0.65,21884
Erfurt,DEU,5,203,2,1,1,1,11.037,50.996,0.86,2.45,23860
Dresden,DEU,5,687,2,1,1,1,13.721,51.059,0.862,2.34,24416
Bila_Tserkva,UKR,5,201,2,2,2,1,30.121,49.788,0.863,2.2,7282
Albi,FRA,5,93,1,1,1,1,2.129,43.984,0.865,0.43,15507
Ceske_Budejovice,CZE,5,126,1,1,1,1,14.496,48.975,0.866,0.88,21632
Arezzo,ITA,5,96,2,1,1,1,11.862,43.475,0.868,1.4,26463
Novorossijsk,RUS,5,238,3,2,2,1,37.767,44.727,0.87,2.57,7749
Kislovodsk,RUS,5,187,2,2,2,1,42.617,43.946,0.871,1.55,4598
Vladivostok,RUS,5,612,2,2,2,1,132.123,43.346,0.872,2.29,8759
Verhnjaja_Salda,RUS,5,75,1,1,1,1,60.587,58.059,0.879,0.71,13066
Belogorsk,RUS,5,79,1,2,1,1,128.492,50.913,0.882,0.62,10715
Leiria,PRT,5,104,1,1,1,1,-8.829,39.704,0.883,0.71,14255
