label,ccode,region,pop,qu,de,ar,aq,lng,lat,arid,capacity,delivery
Mascara,DZA,1,86,3,3,3,1,0.146,35.4,0.317,3.03,3318
Ghazaouet,DZA,1,51,1,3,2,1,-1.8,35.071,0.318,0.87,2955
Al_Hoceima,MAR,1,72,2,3,2,1,-3.892,35.18,0.319,1.05,2061
Asmara,ERI,1,438,4,4,4,1,38.937,15.338,0.323,11.6,223
Aflou,DZA,1,51,2,3,2,1,2.1,34.117,0.325,1.54,3085
Dodoma,TZA,1,155,3,4,3,1,35.737,-6.166,0.332,3.57,197
Sidibelabbes,DZA,1,207,2,3,2,1,-0.613,35.184,0.333,1.72,3211
Saida,DZA,1,148,2,3,2,1,0.162,34.838,0.336,1.83,2888
Djelfa,DZA,1,167,2,3,2,1,3.312,34.688,0.337,1.68,2560
Rams,DZA,1,81,2,3,2,1,-1.413,34.988,0.338,1.65,2920
Mossel_Bay,ZAF,1,60,1,2,1,1,22.092,-34.145,0.343,0.53,5156
Chlef,DZA,1,276,2,3,2,1,1.271,36.171,0.344,1.84,3188
Kasserine,TUN,1,76,2,3,2,1,8.846,35.171,0.346,1.17,1958
Gaborone,BWA,1,168,2,3,2,1,25.925,-24.625,0.349,1.27,2066
Cheria,DZA,1,56,2,3,2,1,7.767,35.271,0.349,1.87,3035
Kaduqli,SDN,1,96,3,4,3,1,29.729,11,0.356,3.58,129
Tebessa,DZA,1,179,2,3,2,1,8.1,35.434,0.357,1.32,2705
Tilemcen,DZA,1,273,3,3,3,1,-1.308,34.9,0.358,3.91,2992
Welkom,ZAF,1,342,2,2,2,1,26.867,-28.029,0.359,1.07,4266
Bloemfontein,ZAF,1,387,3,2,2,1,26.212,-29.121,0.36,3.16,3916
Namakgale,ZAF,1,114,1,3,2,1,31.1,-24.075,0.361,0.84,1661
Mmabatho,ZAF,1,195,2,2,2,1,25.617,-25.841,0.366,1.27,4655
